"4.T.1"	"4.T.2"	"7.T.1"	"7.T.2"	"8.T.1"	"8.T.2"	"9.T.4"	"9.T.Flare"	"10.T.2"	"10.T.3"	"17.T.4"	"17.T.Flare"	"18.T.1"	"18.T.2"	"20.T.1"	"20.T.2"	"32.T.2"	"44.T.1"	"44.T.2"	"57.T.1"	"57.T.2"	"63.T.1"	"63.T.2"	"64.T.1"	"64.T.2"	"68.T.2"	"68.T.Flare"	"69.T.2"	"69.T.Flare"	"72.T.1"	"72.T.2"	"73.T.1"	"73.T.Flare"	"2.T.1"	"2.T.2"	"6.T.2"	"13.T.1"	"13.T.2"	"15.T.1"	"15.T.2"	"21.T.2"	"21.T.Flare"	"22.T.1"	"22.T.2"	"23.T.1"	"23.T.2"	"27.T.1"	"27.T.2"	"29.T.1"	"29.T.2"	"30.T.1"	"30.T.2"	"34.T.3"	"34.T.4"	"38.T.3"	"38.T.4"	"39.T.1"	"39.T.2"	"19.T.1"	"41.T.1"	"41.T.2"	"46.T.3"	"46.T.Flare"	"54.T.1"	"54.T.2"	"55.T.1"	"55.T.2"	"3.T.1"	"3.T.2"	"11.T.1"	"11.T.2"	"19.T.2"	"25.T.1"	"25.T.2"	"26.T.1"	"26.T.2"	"31.T.1"	"31.T.2"	"37.T.1"	"37.T.2"	"47.T.1"	"47.T.2"	"48.T.1"	"48.T.2"	"32.T.1"	"24.T.1"	"49.T.1"	"49.T.2"	"60.T.1"	"60.T.2"	"67.T.1"	"67.T.2"	"74.T.1"	"74.T.2"	"75.T.1"	"75.T.2"	"79.T.1"	"79.T.2"	"6.T.Flare"	"24.T.2"
"contig_10"	0	0	0	0	93.5756701938768	0.998382007767557	1.22148871281192	0	0	0	0	0	0	0	71.9847536593335	0	0	0.980782452265264	0	0	0	0	0	3.03134281556338	0	0	3.94172442489641	4.9727996485566	2.27833981817509	17.2621797868072	16855.3794345443	53.3718759133574	1.82552155175728	48.1797583785882	228.472894041075	0	0	0	0.883115980112111	0	0	0	0	0	0	0.982577106594944	0	12.9475184196883	0	0	0	0	14.3110735987257	148.71940624913	72.0540531162119	44.2217576728682	0	112.979105596397	0	1.0882056556975	1.01769019065098	0.972129094927344	0.660721541448363	2.69712609002766	0	15.5412366161413	0	22346.9767280675	6392.26323063656	0	0.939779212280358	2.9702936184121	0	0	0	0.93183810807697	0	0	0	0	0	195.148608333043	237.210451420386	152.503097992999	0.589993716641179	2.53988878731792	0	0	0	0	0	0	0	0	0	0	0	0	0	265.802766941383
"contig_100"	0.970572051254242	0	0	409.561649877519	0	0	24.9867810633283	3583.33338593914	0	0	0	0	4.57106525623012	7.17849101173766	4.1033120810057	3.31493728199942	3.93863466243563	0.967558367336602	1.87599144635597	2.35098411240367	3.87276560760911	2416.36357555061	8.06962018564726	0	18.187118828392	0	0	1.03015714478731	0	0	0	1829.85166799528	11.4041339709123	182.321199959739	33.5949903636516	0	1.02320411150779	0	0	0.945873211852954	0	0	257.279280692034	0.996148320821307	0	0	0	0	0	1.00387017454214	0	1.98888820623136	4980.61553961427	2548.74340999386	356.324034853407	192.712143105858	0	0	0	0	0	121.6447061505	11.7167400743513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.370476100522	27.249217596758	0	0	1.83769693175454	17823.0086485262	9.46040629625274	0	0.899806835167905	0.966250577776955	6.20056207365488	0	1.20712114266246	1.12910621815276	18.3721890291229	6.96779023013304	1.0824359595528	0
"contig_1000"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06128366563861	0	0	0	0	0	0	0.991238427111387	0	69.1161415161899	35.0171423350195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12363457852952	0	0	0	0	0	0	0	0	0	0	0	256.43501710548	0	0	0.99700469748608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0050918402454	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03205739571431	0	0	18.107027650723	451.538511750296	0	0	0	0	33.0737254190326	12.0358470538832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1003"	0	0	0	0	0	0	0	0	0	0	0	0	21.9278441467963	41.9263120211919	55.1677798263478	52.1528237739428	45.0057756659281	109063.478749846	46.2171237854962	22.865567872825	43.4068187600044	13.1590611375389	44.7849912685882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01978011843561	381.630318059077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1005"	2.59996103051972e-07	24.7309039312453	1.02349562752085	5.00602231249395	0.000400132746630146	0.00700114629922948	825.728605850417	18542.1385176687	985.901431622397	650.744659307747	0.00978753251835272	14.0332600493218	0.0101630980195628	0	0	1.6321767597858e-05	420.625161254611	6.68138850520982e-05	0	0	0	0.00540076656229192	105.420791908973	0.000976872365037269	173.99662414258	247.508520666439	3877.7165029924	0.00337989001905028	0	0.000196259544725337	0.00982915044689465	651.489274082295	2.47513831738019e-06	62.9382289498651	1.36782038007851e-06	4012.52628900232	609.601995260488	2017.28155751066	489.607050401651	0.00517088874058701	0.00361530309082117	0	82.330627961264	0.0100427364294262	0	2.23389064808998	0.0097878364829084	132.303443348212	7324.71612314068	3991.82991165721	19.4549113566185	0	632.870246499677	2.24634067107532	0	0	45.0981887530968	7.85715636788555	27.5605039428113	8.07574993467353	163.925718826481	71.1016462845337	27.6776140611122	389.242286572264	0	0.00107972050070954	0.00967399810810038	0.00984592600545428	27.6040426757285	0	16.2400685559204	743.146209510874	941.351672521411	5980.47997025892	170.394420289213	0.000607319389092516	15.8993387893739	3.77083222490913	8018.3341545488	0.000325749125726585	0	7.98783238104911e-05	802.018703495165	25.1788512813625	1.03011729944572	7.02706749900214	0	0	0	0.000217199621424685	0.000652340503885663	0	28.7708446714779	8.80206587779846	37.0543388347003	4.19350286616234	53.1434170218845	18.0107825892846	1068.69402188377	11.2930623574431
"contig_1006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01327310332273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99022082316012	21.0031792999244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989961649819624	337.633383882289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1007"	0	46.8110979264497	1.04501230603599	4.79239867263673	0	0	0	0	43.3988577926445	49.4765133570024	0	7.11684222359358	1.04414422857829	0	2.00713239472678	356.237068286816	1.0231818871447	0.993267773494054	0	21.821052665281	20.2032496928422	0	2.21231317923967	37.3982943700918	95.4435286943523	0	1.22138712518252	35.6387836426487	4.00143342620349	0	1.00409408177343	0.99711680196979	85.5799205854727	0	0	57.910936210765	0	0	217.606354775659	34.4243710192788	28.1647007063621	0	0	0	0	0	6.01327117997735	105.152302862427	0.997724868144503	0	0	0	0	0	14.2372768590599	4.08325314156304	1.39127933599316	0	0	39.2241401464474	40.8970245865567	1.99609994689373	17.0120608498723	0	0	243.981533693547	17.7870041929214	73.1258158345062	26.0250997017658	2.5464454180307	4.98589645025461	1.19683897884683	1.05746504423283	0	0	11.788240962448	0	0	0	1.29188286860796	0	27.0437803736674	0	7.5971821239752	0	6.36552500570946	23.0310704138719	0	0	27.1475319255634	0	38.7131818377414	94.2053548403988	67.8763640008228	416.220852046641	37.0290800521259	33.874361517784	23.107655168569	68.3598245604889	19.1851286021206
"contig_1008"	0	0	1.0183619177249	0	1.02762250022483	1.00231702175085	0	3304.3998280915	5.97807893234672	1.99683364891481	0	1.00915970077189	0	0	0	1.01439323214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00080790967927	0	0	221.497268495458	431.506083628975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1009"	0	12.2229941812364	7.4127743244769	8.90346585783293	0	0	0	0	22.0734671934044	0	0	0	1.04656068150365	0	0	1.03171728432978	1.02439255444204	0	1.46998988474604	24.3463614701628	14.8116693039052	0	12.2778837291289	13.8706339718712	43.25546717763	1.20035927232522	0	0	2.50239670920646	19.1023490254512	0	0	126.276606606469	3.08180185440804	42.3843840039709	29.5415865676162	18.3621351112047	17.0731609505266	31.5021713006547	80.0041282278077	34.2275883783183	2.58014183392797	6.12392788039556	1.42971267923393	1.95485330754088	11.670475585769	36.228528002856	94.510864898735	1.2118399212776	7.09910221624147	0	0	14.758526671415	1.2451295630473	8.12082392846434	0	5.09593908135279	0	4.7693248217117	6.72146374983541	29.3220810723	1.04503647322777	4.31002801682228	1.94955857809254	3.04235814267652	9.74635309661202	34.8500385232124	16.4030872894106	11.3264858505029	50.8314112301376	14.2796008300948	0	0	0	2.39483106170904	3.4044237332638	0	0	0	0	0	6.3190713116352	2.16594378063047	0	0	4.56378812774242	4.70150486077941	48.2371916018507	0	0	0	2.6706500178254	7.37754685479413	5.40683260621539	1.3140246811917	12.7734456689295	8.51523303950265	3.28373932387739	45.2903222132042	7.08231553771187
"contig_101"	0	0	0	6.13694250025474	0.973936632096391	0	0.975360143181844	947.155875586514	1.05722303746978	0	0	0	0	0	0	0	0	0	0	0	0	9.63263332856379	0	3.10296717154804	6.62347957345137	2.09125321426002	3.89129878808293	6.77460487288799	12.0975002833407	6.97130517628421	4.27284938960662	36806.5333825738	59.7086760052767	1.00705941833642	3.45185968477774	0.985444628662812	0	0	0	0	0	0	129.037917142704	0	0	2.95039695778911	0	1.01707268335221	0	0	0	0	2.10422055219528	0	1502.873296829	534.883503568555	0	0	0	0	0	1.06099952230881	3.30077633205998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216.628416613478	229.182350876832	0	0	0	16.1036072522518	0	0	0	0	0	0	0	0	0	2.45223055309927	0	0
"contig_1010"	0	34.7590898727642	0	230.064233138324	1.020174092976	1.00123160586104	94.0935695955486	18.9199729952445	20.9809013089626	0	0	12.0630722967089	0	54.1381571496503	0	0	208.009271278984	347.661327001551	0	0	0	0	197.926637548655	208.229743261808	72.4178684580763	0	0.993966218435195	185.689739791847	15.2102610633424	6899.76075488412	4.01589536365258	15.1246708882035	734.601432790805	1698.75931745865	645.843392204341	525.9936873282	1029.72150615807	356.056766319434	0	0	207.233194145348	0	1.45795267900335	0	0	5.53392536431898	11.0292188335366	487.283714292827	7.67642796895681	24.2748393476336	0	0	35.0344017250986	0	24.4440256347997	1.14046972699863	0	1.02409772874723	0	303.353797545677	7.71302742955273	8.14685046717927	254.877571257073	0	0	0	315.641656848367	0	20.5843173345227	2.58445707011202	26.1346396335079	0	0	0	0	73.1453989262071	0.984463371654725	0	342.512712900102	0	11.0163501103339	18.2847092035578	0	1.98993041088988	1.03539551278776	10.088163535166	0	0.999796385483738	0	0	2.99241431170042	0	4073.77301454656	40.9605169514893	49.0930391696202	0	223.13338028075	136.873489128261	1909.80741398785	9.93246688723651
