original contig name	Isolation source	Completeness	Cenote-taker contig name	Length	Element Name	Topology	Common Viral Domains	ORF caller used	BLASTN result (if any)	GI	ref	taxid	Kingdom	Phylum	Class	Order	Family	Genus	Species	Protein	Coverage	Repetitive
contig_10	unknown	Partial genome (putative)	ct2_contig_dictionary1_vs01	13228	CrAss-like virus sp. ct6Cp1	linear	3	Prodigal (meta)	no blastn	674660366	YP_009052521.1	1211417	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	putative Plasmid replication initiation protein RepL	4	N
contig_100	unknown	Partial genome (putative)	ct2_contig_dictionary2_vs01	14267	Podoviridae sp. ct5lM2	linear	1	Prodigal (meta)	no blastn	526177706	YP_008241534.1	1327972	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Lightbulbvirus	Cellulophaga virus Cba172	structural protein	3	N
contig_1000	unknown	unknown	NA	1491	Podoviridae sp. ctfa10 sp. cat1002	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2675447	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae sp. ctfa10	no protein	1	N
contig_1001	unknown	unknown	NA	1489	Clostridiales sp. cat1003	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1002	unknown	unknown	NA	1489	Pseudomonadales sp. cat1004	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	72274	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	not classified	not classified	not classified	no protein	1	N
contig_1003	unknown	unknown	NA	1489	not classified sp. cat1005	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1004	unknown	unknown	NA	1489	Prevotella copri sp. cat1006	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	165179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	no protein	1	N
contig_1005	unknown	unknown	NA	1400	not classified sp. cat1007	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	5	N
contig_1006	unknown	unknown	NA	1486	Gramella jeungdoensis sp. cat1008	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	708091	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gramella	Gramella jeungdoensis	no protein	1	N
contig_1007	unknown	unknown	NA	1486	dark_matter sp. cat1000	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1000	no protein	1	N
contig_1008	unknown	unknown	NA	1349	not classified sp. cat1009	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
